,Region,Algoma,Bruce,Brant,Cochrane,Dufferin,Durham,Elgin,Essex,Frontenac,Grey,Hamilton,Haliburton,Haldimand,Hastings,Halton,Huron,Kenora,Chatham-Kent,Lennox and Addington,Leeds and Grenville,Lambton,Lanark,Manitoulin,Middlesex,Muskoka,Norfolk,Niagara,Nipissing,Northumberland,Ottawa,Oxford,Peterborough,Prince Edward,Peel,Prescott and Russell,Parry Sound,Perth,Renfrew,Rainy River,Sudbury,Simcoe,"Stormont, Dundas and Glengarry",Greater Sudbury,Thunder Bay,Timiskaming,Toronto,Kawartha Lakes,Wellington,Waterloo,York
Species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White-rumped Sandpiper,,2022-05-15,2022-05-15,,2022-05-15,,2022-05-11,2022-05-15,2022-05-07,,2022-05-15,2022-05-09,,2022-05-08,2022-05-22,2022-05-08,2022-05-23,2022-05-15,2022-05-04,2022-05-14,,2022-05-03,2022-05-08,,2022-05-08,2022-05-09,2022-05-10,2022-05-10,,2022-05-10,2022-05-10,2022-05-05,2022-05-08,2022-05-09,2022-05-08,2022-05-08,2022-05-15,2022-05-10,,2022-05-16,,2022-05-14,2022-05-09,,2022-05-08,2022-05-18,2022-05-14,2022-05-08,2022-05-16,2022-05-15,2022-05-11
White-throated Sparrow,,2022-04-15,2022-04-12,2022-04-15,2022-04-23,2022-04-14,2022-04-11,2022-04-14,2022-04-10,2022-04-14,2022-04-13,2022-04-15,2022-04-11,2022-04-05,2022-04-13,2022-04-13,2022-04-10,2022-04-25,2022-04-10,2022-04-14,2022-04-13,2022-04-10,2022-04-11,2022-04-13,2022-04-14,2022-04-12,2022-04-08,2022-04-10,2022-04-12,2022-04-15,2022-04-12,2022-04-14,2022-04-13,2022-04-14,2022-04-12,2022-04-13,2022-04-15,2022-04-13,2022-04-12,2022-04-15,2022-04-15,2022-04-12,2022-04-14,2022-04-13,2022-04-18,2022-04-16,2022-04-10,2022-04-10,2022-04-12,2022-04-11,2022-04-15
White-winged Crossbill,,2022-05-31,2022-03-15,2022-02-12,2022-03-10,2022-04-30,2022-03-07,2022-03-14,2022-02-28,2022-03-06,2022-02-28,2022-02-28,2022-03-31,2022-04-03,2022-02-28,2022-02-21,2022-02-28,2022-02-18,2022-02-28,2022-03-07,2022-03-07,2022-02-28,2022-02-28,2022-02-28,2022-03-07,2022-02-28,2022-03-14,2022-03-31,2022-02-28,2022-02-28,2022-02-28,2022-02-28,2022-02-17,2022-03-04,2022-02-28,2022-03-14,2022-03-04,2022-03-06,2022-03-21,2022-05-19,2022-03-07,2022-03-14,2022-03-10,2022-03-07,2022-03-14,2022-02-22,2022-03-14,2022-03-14,2022-02-28,2022-03-07,2022-03-14
Willow Flycatcher,,2022-05-09,2022-05-12,2022-05-12,,2022-05-15,2022-05-08,2022-05-10,2022-05-07,2022-05-11,2022-05-14,2022-05-11,,2022-05-09,2022-05-14,2022-05-10,2022-05-08,,2022-05-09,2022-05-09,2022-05-14,2022-05-11,2022-05-12,2022-05-08,2022-05-11,2022-05-15,2022-05-08,2022-05-09,,2022-05-10,2022-05-14,2022-05-11,2022-05-11,2022-05-14,2022-05-10,2022-05-13,,2022-05-13,2022-05-11,,,2022-05-12,2022-05-14,,2022-05-23,,2022-05-09,2022-05-11,2022-05-14,2022-05-11,2022-05-10
Wilson's Phalarope,,2022-05-07,2022-05-07,2022-05-05,2022-05-03,2022-05-01,2022-05-07,2022-04-30,2022-04-16,2022-05-01,2022-05-04,2022-05-02,,2022-05-07,2022-05-01,2022-05-08,2022-05-08,2022-05-05,2022-04-16,2022-04-23,2022-05-08,2022-04-20,2022-05-22,2022-05-08,2022-05-05,2022-05-07,2022-04-22,2022-05-07,2022-05-02,2022-04-29,2022-05-03,2022-05-22,2022-05-08,2022-05-03,,2022-04-23,2022-05-08,2022-05-08,2022-05-08,2022-04-25,,2022-05-07,2022-04-19,2022-05-08,2022-05-02,2022-05-04,2022-05-01,2022-05-15,2022-04-22,2022-05-08,2022-05-08
Wild Turkey,,2022-04-07,2022-03-31,2022-04-21,,2022-04-25,2022-05-27,2022-04-25,2022-04-01,2022-04-03,2022-03-27,2022-03-31,2022-04-01,2022-03-25,2022-04-10,2022-04-22,2022-04-03,,2022-03-28,2022-02-16,2022-03-30,2022-03-22,2022-04-03,2022-02-28,2022-04-02,2022-05-09,2022-05-24,2022-04-01,2022-02-28,2022-04-23,2022-02-19,2022-03-27,2022-03-28,2022-03-26,2022-04-19,2022-04-22,2022-04-04,2022-03-30,2022-02-26,,2022-03-28,2022-04-11,2022-04-07,2022-05-28,2022-03-31,,2022-05-31,2022-04-09,2022-04-13,2022-04-18,2022-03-31
Wilson's Warbler,,2022-05-08,2022-05-07,2022-05-04,2022-05-14,2022-05-08,2022-05-05,2022-05-07,2022-05-01,2022-05-08,2022-05-07,2022-05-06,2022-05-08,2022-04-29,2022-05-05,2022-05-07,2022-05-06,2022-05-09,2022-05-03,2022-05-07,2022-05-06,2022-05-05,2022-05-06,2022-05-08,2022-05-03,2022-05-07,2022-05-04,2022-05-06,2022-05-07,2022-05-07,2022-05-08,2022-05-02,2022-05-08,2022-05-02,2022-05-07,2022-05-08,2022-05-06,2022-05-07,2022-05-09,2022-05-08,2022-05-15,2022-05-07,2022-05-06,2022-05-07,2022-05-09,2022-05-08,2022-05-05,2022-05-07,2022-05-06,2022-05-05,2022-05-08
Wood Duck,,2022-03-22,2022-03-07,2022-03-02,2022-04-07,2022-03-07,2022-03-04,2022-03-02,2022-03-05,2022-03-14,2022-03-16,2022-03-06,2022-03-18,2022-03-14,2022-03-16,2022-02-24,2022-03-05,2022-04-14,2022-03-03,2022-03-11,2022-03-15,2022-03-06,2022-03-14,2022-03-23,2022-03-09,2022-03-19,2022-03-05,2022-03-04,2022-03-25,2022-03-08,2022-03-17,2022-03-08,2022-03-14,2022-03-05,2022-03-12,2022-03-22,2022-03-25,2022-03-10,2022-03-21,2022-03-23,2022-03-20,2022-03-06,2022-03-21,2022-03-25,2022-03-26,2022-04-03,2022-03-04,2022-03-14,2022-03-07,2022-03-08,2022-03-11
Wood Thrush,,2022-05-05,2022-04-29,2022-04-30,,2022-04-30,2022-04-24,2022-04-23,2022-04-22,2022-04-27,2022-05-06,2022-04-27,2022-05-03,2022-04-23,2022-04-27,2022-04-26,2022-04-29,2022-05-15,2022-04-22,2022-04-30,2022-04-30,2022-04-24,2022-04-30,2022-05-07,2022-04-26,2022-05-05,2022-04-19,2022-04-24,2022-05-08,2022-04-28,2022-05-01,2022-04-29,2022-04-30,2022-04-28,2022-04-26,2022-04-30,2022-05-02,2022-04-30,2022-05-05,2022-05-06,2022-05-09,2022-05-02,2022-05-01,,2022-05-08,2022-05-08,2022-04-23,2022-05-03,2022-04-29,2022-04-27,2022-04-30
Yellow-crowned Night-Heron,,,,,,,2022-05-22,,2022-04-22,,,,,,,,,,,,,,,,,,,,,,2022-05-21,,2022-04-08,,,,,,,,,,,,,,2022-05-11,,,,
Yellow-breasted Chat,,,,,2022-05-23,,,2022-04-22,2022-04-21,2022-05-22,,2022-05-08,,2022-04-22,,2022-05-16,,,2022-04-19,,,2022-05-03,,,2022-05-15,,2022-04-11,2022-05-16,,,,,,2022-05-04,2022-05-08,,,,,,,,,,,,2022-04-22,,,,
Yellow-billed Cuckoo,,,2022-05-15,2022-05-14,,2022-05-17,2022-05-09,2022-05-14,2022-05-07,2022-05-10,2022-05-10,2022-05-15,,2022-05-11,2022-05-06,2022-05-15,2022-05-09,,2022-05-12,2022-05-10,2022-05-11,2022-05-12,2022-05-11,,2022-05-12,2022-05-10,2022-05-13,2022-05-11,,2022-05-08,2022-05-15,2022-05-15,2022-05-14,2022-05-14,2022-05-14,2022-05-08,2022-05-15,2022-05-16,,2022-05-15,,2022-05-14,2022-05-08,2022-05-22,,,2022-05-15,2022-05-10,2022-05-11,2022-05-14,2022-05-16
Yellow-bellied Flycatcher,,2022-05-17,2022-05-10,2022-05-08,2022-05-21,2022-05-12,2022-05-08,2022-05-09,2022-05-04,2022-05-11,2022-05-11,2022-05-08,2022-05-14,2022-05-09,2022-05-17,2022-05-08,2022-05-16,2022-05-22,2022-05-08,2022-05-08,2022-05-08,2022-05-11,2022-05-02,2022-05-08,2022-05-13,2022-05-08,2022-05-10,2022-05-11,2022-05-15,2022-05-13,2022-05-12,2022-05-15,2022-05-14,2022-05-09,2022-05-09,2022-05-08,2022-05-08,2022-05-09,2022-05-08,2022-05-16,2022-05-21,2022-05-08,2022-05-04,2022-05-08,2022-05-19,2022-05-16,2022-05-09,2022-05-07,2022-05-07,2022-05-07,2022-05-08
Yellow-bellied Sapsucker,,2022-04-04,2022-03-26,2022-03-24,2022-04-12,2022-04-08,2022-03-27,2022-03-26,2022-03-23,2022-03-30,2022-04-02,2022-03-27,2022-04-03,2022-03-25,2022-04-01,2022-03-31,2022-03-26,2022-04-08,2022-03-23,2022-03-29,2022-04-01,2022-03-25,2022-04-01,2022-04-05,2022-03-26,2022-04-02,2022-03-25,2022-03-26,2022-04-06,2022-03-29,2022-04-01,2022-04-04,2022-03-31,2022-03-31,2022-03-27,2022-04-02,2022-04-02,2022-03-31,2022-04-02,2022-04-07,2022-04-04,2022-03-31,2022-04-04,2022-04-04,2022-04-02,2022-04-14,2022-03-27,2022-04-01,2022-03-31,2022-03-25,2022-04-01
Yellow Rail,,2022-05-22,,,2022-05-23,,,,,2022-04-22,,,,,,2022-05-01,,,2022-05-08,2022-05-15,,,,,,,,,2022-05-22,2022-04-15,2022-05-09,,2022-05-18,,,,,,,2022-05-15,,,,,,2022-05-15,,2022-04-19,2022-05-15,,
Yellow Warbler,,2022-05-04,2022-04-30,2022-04-23,2022-05-13,2022-04-29,2022-04-24,2022-04-22,2022-04-20,2022-04-25,2022-04-28,2022-04-23,2022-05-03,2022-04-22,2022-04-26,2022-04-24,2022-04-23,2022-05-08,2022-04-21,2022-04-26,2022-04-27,2022-04-21,2022-04-27,2022-05-02,2022-04-22,2022-05-01,2022-04-21,2022-04-23,2022-05-03,2022-04-24,2022-04-30,2022-04-25,2022-04-26,2022-04-25,2022-04-24,2022-04-30,2022-05-05,2022-04-25,2022-05-01,2022-05-08,2022-05-04,2022-04-26,2022-04-25,2022-05-06,2022-05-12,2022-05-08,2022-04-23,2022-04-28,2022-04-26,2022-04-24,2022-04-25
Yellow-rumped Warbler,,2022-04-13,2022-04-06,2022-04-12,2022-04-30,2022-04-16,2022-04-11,2022-04-07,2022-04-02,2022-04-15,2022-04-13,2022-04-14,2022-04-17,2022-04-08,2022-04-19,2022-04-14,2022-04-07,2022-04-25,2022-04-03,2022-04-17,2022-04-14,2022-04-03,2022-04-16,2022-04-16,2022-04-07,2022-04-16,2022-04-05,2022-04-11,2022-04-18,2022-04-14,2022-04-15,2022-04-14,2022-04-14,2022-04-14,2022-04-11,2022-04-19,2022-04-16,2022-04-16,2022-04-17,2022-04-11,2022-04-16,2022-04-14,2022-04-16,2022-04-19,2022-04-20,2022-04-23,2022-04-09,2022-04-15,2022-04-14,2022-04-13,2022-04-14
Yellow-throated Vireo,,2022-05-11,2022-05-01,2022-05-04,,2022-05-09,2022-04-30,2022-04-27,2022-04-22,2022-04-28,2022-05-04,2022-04-25,2022-05-08,2022-04-25,2022-04-24,2022-05-01,2022-05-06,,2022-04-23,2022-05-01,2022-04-29,2022-04-30,2022-04-30,,2022-04-29,2022-05-06,2022-04-23,2022-04-25,,2022-04-25,2022-05-07,2022-05-23,2022-05-04,2022-04-26,2022-04-27,2022-04-22,2022-04-27,2022-05-01,2022-04-22,2022-05-14,2022-05-15,2022-05-02,2022-05-05,,,,2022-04-25,2022-05-02,2022-05-03,2022-05-01,2022-04-22
Belted Kingfisher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-21,,,,
Common/Black Scoter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Scoter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-15,,,,
Boreal Chickadee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-02-28,,,,
Cackling Goose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-01,,,,
Caspian Tern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-04-08,,,,
Common Gallinule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-04-15,,,,
Eastern Screech-Owl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-05-02,,,,
Eastern Whip-poor-will,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-04-15,,,,
Great Blue Heron (Great Blue),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great Blue Heron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-17,,,,
Aztec/King Rail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
King Rail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mallard/Mexican Duck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mallard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-02-27,,,,
Hen/Northern Harrier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Harrier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-04-11,,,,
Northern/Great Gray Shrike,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Shrike,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-07,,,,
Ovenbird,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-04-23,,,,
Red-eyed/Chivi Vireo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red-eyed Vireo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-05-07,,,,
Grass Wren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sedge Wren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-04-30,,,,
Snowy Owl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-02-25,,,,
Velvet/White-winged/Stejneger's Scoter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White-winged Scoter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-02-18,,,,
Willet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-04-21,,,,
Wilson's Snipe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-17,,,,
Pacific/Winter Wren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Winter Wren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-22,,,,
American Coot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-02-21,,,,
Iceland Gull,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-04-10,,,,
