,Region,Algoma,Bruce,Brant,Cochrane,Dufferin,Durham,Elgin,Essex,Frontenac,Grey,Hamilton,Haliburton,Haldimand,Hastings,Halton,Huron,Kenora,Chatham-Kent,Lennox and Addington,Leeds and Grenville,Lambton,Lanark,Manitoulin,Middlesex,Muskoka,Norfolk,Niagara,Nipissing,Northumberland,Ottawa,Oxford,Peterborough,Prince Edward,Peel,Prescott and Russell,Parry Sound,Perth,Renfrew,Rainy River,Sudbury,Simcoe,"Stormont, Dundas and Glengarry",Greater Sudbury,Thunder Bay,Timiskaming,Toronto,Kawartha Lakes,Wellington,Waterloo,York
Species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Short-billed Dowitcher,,2022-05-05,2022-05-04,2022-05-08,2022-05-02,2022-05-01,2022-05-03,2022-05-02,2022-04-30,2022-05-08,2022-05-01,2022-05-07,,2022-05-05,2022-05-04,2022-05-01,2022-05-01,2022-05-08,2022-04-30,2022-05-07,,2022-05-02,2022-05-23,2022-05-01,2022-05-05,,2022-05-02,2022-05-03,2022-05-02,2022-05-04,2022-05-08,2022-05-01,2022-05-08,2022-05-08,2022-05-09,2022-05-07,2022-05-08,2022-05-01,2022-05-15,2022-05-01,,2022-05-05,2022-05-07,2022-05-08,2022-05-02,2022-05-05,2022-05-07,2022-05-07,2022-05-08,2022-05-15,2022-05-08
Short-eared Owl,,2022-03-27,2022-04-10,2022-02-28,2022-04-09,2022-03-01,2022-03-07,2022-03-18,2022-03-21,2022-04-14,,2022-02-28,,2022-02-28,2022-02-22,2022-03-21,2022-02-23,2022-05-17,2022-02-28,2022-02-22,2022-04-12,2022-03-07,2022-02-28,2022-04-04,2022-02-28,,2022-02-28,2022-04-14,2022-03-22,2022-02-28,2022-03-31,2022-03-13,2022-03-31,2022-04-08,2022-02-28,2022-04-07,2022-04-15,2022-03-19,2022-02-28,2022-05-21,,2022-04-11,2022-03-27,2022-04-08,2022-04-21,2022-04-08,2022-04-02,2022-04-21,2022-03-31,2022-02-28,2022-04-17
Sharp-shinned Hawk,,2022-03-31,2022-04-01,2022-03-14,2022-04-12,2022-04-09,2022-04-18,2022-02-28,2022-04-04,2022-04-07,2022-03-26,2022-03-13,2022-04-04,2022-04-09,2022-05-14,2022-04-16,2022-04-14,2022-04-14,2022-02-28,2022-03-21,2022-03-28,2022-03-22,2022-04-30,2022-02-23,2022-04-21,2022-03-27,2022-04-28,2022-03-10,2022-03-31,2022-04-15,2022-04-01,2022-04-07,2022-04-22,2022-04-16,2022-04-09,2022-04-17,2022-04-05,2022-04-09,2022-03-23,2022-03-23,2022-04-09,2022-04-13,2022-03-31,2022-04-30,2022-04-19,2022-03-25,2022-03-30,2022-04-29,2022-04-07,2022-04-14,2022-04-05
Snow Bunting,,2022-03-17,2022-03-07,2022-02-28,2022-03-14,2022-03-07,2022-02-28,2022-02-28,2022-02-28,2022-03-07,2022-03-07,2022-03-07,2022-03-05,2022-02-28,2022-02-28,2022-02-28,2022-03-07,2022-03-10,2022-02-28,2022-02-28,2022-02-28,2022-02-28,2022-02-28,2022-03-09,2022-02-28,2022-03-14,2022-02-28,2022-02-28,2022-03-26,2022-02-28,2022-02-28,2022-02-28,2022-02-28,2022-02-28,2022-02-28,2022-02-19,2022-03-21,2022-03-05,2022-02-28,2022-03-14,2022-04-02,2022-02-28,2022-02-22,2022-03-21,2022-03-04,2022-02-28,2022-03-07,2022-02-28,2022-02-28,2022-02-28,2022-02-28
Snow Goose,,2022-03-13,2022-03-05,2022-03-01,2022-04-16,2022-03-10,2022-02-24,2022-02-22,2022-02-25,2022-02-28,2022-03-06,2022-03-10,,2022-03-16,2022-03-02,2022-03-21,2022-03-10,2022-05-17,2022-02-22,2022-03-21,2022-03-01,2022-02-28,2022-03-11,2022-03-08,2022-02-23,,2022-02-25,2022-03-12,2022-04-08,2022-03-14,2022-03-08,2022-02-26,2022-02-22,2022-02-19,2022-02-26,2022-03-12,2022-03-08,2022-03-16,2022-04-02,,,2022-02-26,2022-02-28,2022-04-08,2022-04-01,2022-03-22,2022-04-05,2022-04-04,2022-04-07,2022-03-22,2022-03-26
Solitary Sandpiper,,2022-04-25,2022-04-21,2022-04-23,2022-04-28,2022-04-23,2022-04-21,2022-04-17,2022-04-17,2022-04-25,2022-04-22,2022-04-17,2022-04-30,2022-04-23,2022-04-30,2022-04-21,2022-04-23,2022-05-01,2022-04-21,2022-04-27,2022-04-24,2022-04-17,2022-05-01,2022-04-22,2022-04-21,2022-04-27,2022-04-20,2022-04-19,2022-04-30,2022-04-28,2022-04-27,2022-04-19,2022-04-23,2022-04-23,2022-04-23,2022-05-02,2022-05-06,2022-04-22,2022-04-27,2022-04-22,2022-05-02,2022-04-22,2022-04-23,2022-04-30,2022-04-30,2022-05-01,2022-04-21,2022-04-24,2022-04-21,2022-04-22,2022-04-27
Song Sparrow,,2022-03-22,2022-03-14,2022-03-08,2022-04-04,2022-03-18,2022-03-09,2022-03-08,2022-03-03,2022-03-10,2022-03-11,2022-03-09,2022-03-16,2022-03-08,2022-03-12,2022-03-09,2022-03-09,2022-04-10,2022-03-05,2022-03-10,2022-03-14,2022-03-05,2022-03-14,2022-03-23,2022-03-07,2022-03-17,2022-03-05,2022-03-07,2022-03-23,2022-03-10,2022-03-15,2022-03-10,2022-03-13,2022-03-10,2022-03-08,2022-03-15,2022-03-18,2022-03-09,2022-03-16,2022-04-02,2022-03-15,2022-03-14,2022-03-15,2022-03-20,2022-04-02,2022-04-02,2022-03-05,2022-03-14,2022-03-10,2022-03-09,2022-03-12
Sora,,2022-04-25,2022-04-22,2022-04-15,2022-05-03,2022-05-01,2022-04-12,2022-04-13,2022-04-08,2022-04-14,2022-04-23,2022-04-09,2022-05-03,2022-05-07,2022-04-16,2022-04-01,2022-04-04,2022-05-08,2022-04-08,2022-04-23,2022-04-16,2022-04-10,2022-04-26,2022-05-08,2022-04-04,2022-04-22,2022-04-10,2022-04-11,2022-04-29,2022-04-11,2022-04-21,2022-04-23,2022-04-09,2022-04-23,2022-04-18,2022-04-28,2022-05-02,2022-04-22,2022-04-23,2022-05-01,2022-05-15,2022-04-14,2022-04-23,2022-04-22,2022-05-02,2022-04-29,2022-04-15,2022-04-18,2022-04-02,2022-05-09,2022-04-30
Spotted Sandpiper,,2022-04-24,2022-04-22,2022-04-21,2022-05-06,2022-04-25,2022-04-20,2022-04-16,2022-04-13,2022-04-24,2022-04-20,2022-04-16,2022-05-03,2022-04-17,2022-04-21,2022-04-17,2022-04-16,2022-05-07,2022-04-16,2022-04-21,2022-04-23,2022-04-17,2022-04-25,2022-04-26,2022-04-16,2022-04-23,2022-04-18,2022-04-19,2022-05-01,2022-04-24,2022-04-24,2022-04-15,2022-04-21,2022-04-23,2022-04-22,2022-04-24,2022-04-30,2022-04-18,2022-05-01,2022-04-30,2022-05-04,2022-04-21,2022-04-27,2022-05-01,2022-05-04,2022-05-02,2022-04-21,2022-04-24,2022-04-17,2022-04-17,2022-04-21
Stilt Sandpiper,,2022-05-01,2022-04-22,,,,2022-05-15,,2022-04-16,,2022-04-22,2022-05-08,,,,,,2022-05-22,2022-04-23,2022-05-15,,2022-05-15,,,2022-05-01,,2022-04-15,2022-05-08,,,,,,,,2022-05-09,,2022-05-08,,,,2022-05-08,,,2022-05-01,,,2022-05-15,,,2022-05-15
